Team	Region	Avg RaptorScore	Rank
south_carolina_gamecocks	North	22.77211621544188	1
florida_gulf_coast_eagles	North	21.558509368634034	2
stephen_f_austin_ladyjacks	North	19.17064701774343	3
ucf_knights	North	17.652457529046064	4
jackson_state_lady_tigers	North	15.93281161831745	5
belmont_bruins	North	14.768640300502089	6
lsu_tigers	North	13.638982462877678	7
middle_tennessee_blue_raiders	North	12.796785093849355	8
mercer_bears	North	11.896682652003683	9
georgia_tech_yellow_jackets	North	11.437068010165286	10
ole_miss_rebels	North	11.123502975960518	11
georgia_lady_bulldogs	North	10.888527836527292	12
troy_trojans	North	10.656006938368334	13
jacksonville_state_gamecocks	North	10.466597865480084	14
freed_hardeman_lions	North	10.455059230512529	15
tennessee_lady_volunteers	North	9.706244617601516	16
louisiana_ragin_cajuns	North	8.916854195917963	17
south_carolina_upstate_spartans	North	8.325557130614492	18
south_florida_bulls	North	7.814477010468506	19
georgia_southern_eagles	North	7.551828970809974	20
charleston_cougars	North	6.822238749107688	21
arkansas_razorbacks	North	6.684783716226782	22
louisiana_tech_lady_techsters	North	6.301150967322361	23
se_louisiana_lady_lions	North	5.747407624811703	24
stetson_hatters	North	5.401377958253923	25
tulane_green_wave	North	4.982522252732475	26
charlotte_49ers	North	4.534495766700042	27
florida_state_seminoles	North	4.386575878715036	28
tulsa_golden_hurricane	North	3.8933606084158683	29
furman_paladins	North	3.764693533000233	30
florida_gators	North	3.6416552588380715	31
high_point_panthers	North	3.5235334970054972	32
alabama_crimson_tide	North	2.6166260812227127	33
little_rock_trojans	North	2.4385817768022484	34
tennessee_tech_golden_eagles	North	2.2633505173521025	35
wofford_terriers	North	2.2191121666637423	36
southern_miss_lady_eagles	North	1.6962483915633428	37
miami_hurricanes	North	0.774632726006904	38
davidson_wildcats	North	0.4689146777486279	39
houston_cougars	North	0.16786646721589507	40
rice_owls	North	0.0463224462081215	41
gardner_webb_runnin_bulldogs	North	-0.7663021862027118	42
memphis_tigers	North	-1.0639742619181232	43
jacksonville_dolphins	North	-1.0857242666829767	44
houston_christian_huskies	North	-1.2679054078295977	45
elon_phoenix	North	-2.7311644011903224	46
oral_roberts_golden_eagles	North	-3.298480209505907	47
alabama_state_lady_hornets	North	-9.477437054440653	48
unc_pembroke_braves	South	24.660352991210083	1
louisville_cardinals	South	19.184055011410194	2
iu_indianapolis_jaguars	South	15.876340276874219	3
dayton_flyers	South	14.132563209205408	4
toledo_rockets	South	13.13868779961267	5
missouri_state_lady_bears	South	12.977936096434203	6
virginia_tech_hokies	South	12.367052614340091	7
iowa_state_cyclones	South	12.206629019983788	8
michigan_wolverines	South	12.187859052130793	9
iowa_hawkeyes	South	12.164321565897474	10
ohio_state_buckeyes	South	12.053961533986262	11
murray_state_racers	South	11.515835062285403	12
coker_cobras	South	10.771367439575412	13
northern_iowa_panthers	South	10.251118805398415	14
notre_dame_fighting_irish	South	10.162950126808445	15
cleveland_state_vikings	South	9.76228633548986	16
indiana_hoosiers	South	9.631071849641186	17
youngstown_state_penguins	South	9.361822303096215	18
depaul_blue_demons	South	8.575655866908004	19
green_bay_phoenix	South	7.400248258298366	20
kent_state_golden_flashes	South	7.323047389903761	21
northern_kentucky_norse	South	7.270878580233863	22
southern_illinois_salukis	South	7.1314740773145	23
austin_peay_governors	South	6.768001489296106	24
kansas_jayhawks	South	6.6416009464382775	25
