team	region	elo	rank
south_carolina_gamecocks	North	3010.227339746708	1
lsu_tigers	North	2737.314665378718	2
ucf_knights	North	2687.2205162139226	3
tennessee_lady_volunteers	North	2598.087125501085	4
ole_miss_rebels	North	2596.18265217649	5
miami_hurricanes	North	2580.402264878661	6
florida_gulf_coast_eagles	North	2535.4183215427593	7
florida_gators	North	2519.6834494104646	8
south_florida_bulls	North	2509.153777559254	9
georgia_lady_bulldogs	North	2508.764427541156	10
florida_state_seminoles	North	2481.118592182289	11
georgia_tech_yellow_jackets	North	2430.788531958377	12
arkansas_razorbacks	North	2430.403572113115	13
alabama_crimson_tide	North	2423.2772399728015	14
tulane_green_wave	North	2295.691412068758	15
houston_cougars	North	2235.6629819146456	16
stephen_f_austin_ladyjacks	North	2211.121005547445	17
charlotte_49ers	North	2191.208492922898	18
middle_tennessee_blue_raiders	North	2132.2553764907057	19
troy_trojans	North	2127.155791847979	20
belmont_bruins	North	2113.5771843536427	21
freed_hardeman_lions	North	2078.0035757250425	22
tulsa_golden_hurricane	North	2062.66311417521	23
mercer_bears	North	2057.3793307290584	24
memphis_tigers	North	2033.6411778765275	25
louisiana_tech_lady_techsters	North	2030.5475656330848	26
jackson_state_lady_tigers	North	1980.299326144706	27
louisiana_ragin_cajuns	North	1979.6128789550944	28
stetson_hatters	North	1958.8495714711205	29
little_rock_trojans	North	1953.3608842832448	30
davidson_wildcats	North	1952.0992557143447	31
rice_owls	North	1931.8494105087673	32
tennessee_tech_golden_eagles	North	1915.805024785206	33
jacksonville_state_gamecocks	North	1901.0245531507792	34
elon_phoenix	North	1897.806667800547	35
charleston_cougars	North	1877.7170069767224	36
oral_roberts_golden_eagles	North	1876.13393667389	37
southern_miss_lady_eagles	North	1821.8433081000624	38
georgia_southern_eagles	North	1726.4534528495806	39
jacksonville_dolphins	North	1679.8783567908406	40
furman_paladins	North	1649.7018422881488	41
gardner_webb_runnin_bulldogs	North	1634.105756462731	42
south_carolina_upstate_spartans	North	1629.6726394855114	43
high_point_panthers	North	1620.8924483172862	44
wofford_terriers	North	1613.3220067257084	45
houston_christian_huskies	North	1560.5057664163944	46
alabama_state_lady_hornets	North	1473.9966567568868	47
se_louisiana_lady_lions	North	1445.670895053419	48
iowa_state_cyclones	South	2760.903768214422	1
louisville_cardinals	South	2754.8411601561224	2
iowa_hawkeyes	South	2714.2958819628147	3
kentucky_wildcats	South	2684.927899440243	4
virginia_tech_hokies	South	2653.3775178320743	5
michigan_wolverines	South	2643.5201236192574	6
indiana_hoosiers	South	2605.036985047891	7
kansas_jayhawks	South	2598.630821795029	8
notre_dame_fighting_irish	South	2590.402571885196	9
ohio_state_buckeyes	South	2559.9832701802397	10
dayton_flyers	South	2424.7972852836288	11
missouri_tigers	South	2367.5760976873303	12
marquette_golden_eagles	South	2341.8143289751015	13
